time	I(R5)
4.629607288254371e-05	-5.449658e+02
4.649138538254371e-05	-5.448812e+02
4.668669788254371e-05	-5.444552e+02
4.688201038254370e-05	-5.436947e+02
4.707732288254370e-05	-5.426063e+02
4.746794788254370e-05	-5.394733e+02
4.785857288254370e-05	-5.351119e+02
4.824919788254370e-05	-5.295787e+02
4.883513538254369e-05	-5.192074e+02
4.942107288254369e-05	-5.065247e+02
5.000701038254369e-05	-4.917287e+02
5.059294788254368e-05	-4.750178e+02
5.117888538254368e-05	-4.565903e+02
5.156951038254368e-05	-4.434488e+02
5.176482288254367e-05	-4.366429e+02
5.196013538254367e-05	-4.296896e+02
5.215544788254367e-05	-4.225962e+02
5.235076038254367e-05	-4.153696e+02
5.254607288254367e-05	-4.080170e+02
5.274138538254367e-05	-4.005453e+02
5.293669788254367e-05	-3.929613e+02
5.313201038254367e-05	-3.852720e+02
5.352263538254366e-05	-3.696044e+02
5.391326038254366e-05	-3.535958e+02
5.430388538254366e-05	-3.372987e+02
5.488982288254366e-05	-3.124232e+02
5.547576038254365e-05	-2.871798e+02
5.606169788254365e-05	-2.617280e+02
5.664763538254365e-05	-2.362197e+02
5.717776931111507e-05	-2.129988e+02
5.770790323968650e-05	-1.901690e+02
5.823803716825792e-05	-1.677302e+02
5.876817109682935e-05	-1.456824e+02
5.929830502540077e-05	-1.240257e+02
5.982843895397220e-05	-1.027601e+02
6.035857288254362e-05	-8.188545e+01
6.094451038254362e-05	-5.979210e+01
6.133513538254363e-05	-4.554263e+01
6.172576038254364e-05	-3.170128e+01
6.192107288254365e-05	-2.493967e+01
6.211638538254365e-05	-1.828708e+01
6.231169788254366e-05	-1.174564e+01
6.250701038254366e-05	-5.317315e+00
6.270232288254367e-05	9.959900e-01
6.289763538254368e-05	7.192499e+00
6.309294788254368e-05	1.327054e+01
6.328826038254369e-05	1.922854e+01
6.367888538254370e-05	3.077869e+01
6.406951038254371e-05	4.183247e+01
6.446013538254372e-05	5.238102e+01
6.504607288254374e-05	6.724107e+01
6.563201038254375e-05	8.093027e+01
6.621794788254377e-05	9.343798e+01
6.680388538254379e-05	1.047607e+02
6.736192109682951e-05	1.143959e+02
6.791995681111525e-05	1.230128e+02
6.847799252540098e-05	1.306111e+02
6.903602823968671e-05	1.371910e+02
6.959406395397243e-05	1.427524e+02
7.015209966825817e-05	1.472954e+02
7.071013538254390e-05	1.508198e+02
7.129607288254392e-05	1.535883e+02
7.168669788254393e-05	1.548883e+02
7.207732288254394e-05	1.557669e+02
7.227263538254394e-05	1.560523e+02
7.246794788254395e-05	1.562375e+02
7.266326038254396e-05	1.563242e+02
7.285857288254396e-05	1.563142e+02
7.305388538254397e-05	1.562094e+02
7.324919788254397e-05	1.560115e+02
7.344451038254398e-05	1.557225e+02
7.383513538254399e-05	1.548787e+02
7.422576038254400e-05	1.536934e+02
7.461638538254401e-05	1.521822e+02
7.520232288254403e-05	1.493391e+02
7.578826038254404e-05	1.458529e+02
7.637419788254406e-05	1.417783e+02
7.696013538254408e-05	1.371705e+02
7.754607288254409e-05	1.320843e+02
7.793669788254411e-05	1.284547e+02
7.832732288254412e-05	1.246528e+02
7.852263538254412e-05	1.226922e+02
7.871794788254413e-05	1.206944e+02
7.891326038254413e-05	1.186613e+02
7.910857288254414e-05	1.165950e+02
7.930388538254415e-05	1.144974e+02
7.949919788254415e-05	1.123702e+02
7.969451038254416e-05	1.102155e+02
8.008513538254417e-05	1.058308e+02
8.047576038254418e-05	1.013578e+02
8.086638538254419e-05	9.681094e+01
8.145232288254421e-05	8.988274e+01
8.203826038254422e-05	8.286543e+01
8.262419788254424e-05	7.580264e+01
8.321013538254426e-05	6.873585e+01
8.374026931111571e-05	6.231355e+01
8.427040323968714e-05	5.600679e+01
8.480053716825859e-05	4.981558e+01
8.533067109683003e-05	4.373991e+01
8.586080502540148e-05	3.777979e+01
8.639093895397291e-05	3.193521e+01
8.692107288254436e-05	2.620617e+01
8.750701038254438e-05	2.014993e+01
8.789763538254439e-05	1.624854e+01
8.828826038254440e-05	1.246259e+01
8.848357288254441e-05	1.061450e+01
8.867888538254441e-05	8.797134e+00
8.887419788254442e-05	7.011047e+00
8.906951038254443e-05	5.256766e+00
8.926482288254443e-05	3.534788e+00
8.946013538254444e-05	1.845581e+00
8.965544788254444e-05	1.895829e-01
8.985076038254445e-05	-1.432796e+00
9.004607288254445e-05	-3.021175e+00
9.024138538254446e-05	-4.575202e+00
9.043669788254446e-05	-6.094552e+00
9.082732288254448e-05	-9.028061e+00
9.121794788254449e-05	-1.181966e+01
9.160857288254450e-05	-1.446772e+01
9.219451038254451e-05	-1.816817e+01
9.278044788254453e-05	-2.154069e+01
9.336638538254455e-05	-2.458484e+01
9.395232288254456e-05	-2.730202e+01
9.445455502540172e-05	-2.936098e+01
9.495678716825888e-05	-3.119638e+01
9.545901931111604e-05	-3.280822e+01
9.596125145397319e-05	-3.419652e+01
9.646348359683035e-05	-3.536125e+01
9.696571573968751e-05	-3.630244e+01
9.746794788254467e-05	-3.702007e+01
9.805388538254468e-05	-3.761808e+01
9.844451038254469e-05	-3.786967e+01
9.863982288254470e-05	-3.795273e+01
9.883513538254470e-05	-3.800793e+01
9.903044788254471e-05	-3.803577e+01
9.922576038254472e-05	-3.803675e+01
9.942107288254472e-05	-3.801136e+01
9.961638538254473e-05	-3.796012e+01
9.981169788254473e-05	-3.788354e+01
1.002023228825447e-04	-3.765651e+01
1.005929478825448e-04	-3.733451e+01
1.009835728825448e-04	-3.692188e+01
1.015695103825448e-04	-3.614264e+01
1.021554478825448e-04	-3.518443e+01
1.027413853825448e-04	-3.406245e+01
1.033273228825448e-04	-3.279196e+01
1.037179478825448e-04	-3.186998e+01
1.041085728825449e-04	-3.089325e+01
1.043038853825449e-04	-3.038575e+01
1.044991978825449e-04	-2.986623e+01
1.046945103825449e-04	-2.933525e+01
1.048898228825449e-04	-2.879334e+01
1.050851353825449e-04	-2.824106e+01
1.054757603825449e-04	-2.710752e+01
1.058663853825449e-04	-2.593890e+01
1.062570103825449e-04	-2.473940e+01
1.068429478825449e-04	-2.289125e+01
1.074288853825450e-04	-2.099639e+01
1.080148228825450e-04	-1.906786e+01
1.085449568111164e-04	-1.728499e+01
1.090750907396879e-04	-1.551348e+01
1.096052246682593e-04	-1.375333e+01
1.101353585968307e-04	-1.200455e+01
1.106654925254022e-04	-1.026712e+01
1.111956264539736e-04	-8.541052e+00
1.117257603825451e-04	-6.826344e+00
1.123116978825451e-04	-4.993145e+00
1.127023228825451e-04	-3.798986e+00
1.130929478825451e-04	-2.629684e+00
1.132882603825451e-04	-2.054975e+00
1.134835728825451e-04	-1.487207e+00
1.136788853825451e-04	-9.266036e-01
1.138741978825451e-04	-3.733809e-01
1.140695103825451e-04	1.722547e-01
1.142648228825451e-04	7.101051e-01
1.144601353825452e-04	1.239981e+00
1.146554478825452e-04	1.761701e+00
1.148507603825452e-04	2.275092e+00
1.150460728825452e-04	2.779992e+00
1.152413853825452e-04	3.276244e+00
1.154366978825452e-04	3.763701e+00
1.156320103825452e-04	4.242224e+00
1.158273228825452e-04	4.711682e+00
1.162179478825452e-04	5.622921e+00
1.166085728825452e-04	6.496533e+00
1.169991978825452e-04	7.331758e+00
1.175851353825452e-04	8.511259e+00
1.181710728825453e-04	9.601345e+00
1.187570103825453e-04	1.060096e+01
1.193429478825453e-04	1.150959e+01
1.199009835968310e-04	1.228697e+01
1.204590193111167e-04	1.298541e+01
1.210170550254025e-04	1.360491e+01
1.215750907396882e-04	1.414547e+01
1.221331264539739e-04	1.460709e+01
1.226911621682597e-04	1.498976e+01
1.232491978825454e-04	1.529349e+01
1.238351353825454e-04	1.553920e+01
1.244210728825454e-04	1.570845e+01
1.248116978825454e-04	1.578043e+01
1.250070103825454e-04	1.580455e+01
1.252023228825454e-04	1.582093e+01
1.253976353825455e-04	1.582970e+01
1.255929478825455e-04	1.583101e+01
1.257882603825455e-04	1.582499e+01
1.259835728825455e-04	1.581179e+01
1.261788853825455e-04	1.579155e+01
1.265695103825455e-04	1.573052e+01
1.269601353825455e-04	1.564309e+01
1.273507603825455e-04	1.553045e+01
1.279366978825455e-04	1.531691e+01
1.285226353825455e-04	1.505357e+01
1.291085728825456e-04	1.474465e+01
1.296945103825456e-04	1.439436e+01
1.302525460968313e-04	1.401747e+01
1.308105818111170e-04	1.361927e+01
1.313686175254028e-04	1.319977e+01
1.319266532396885e-04	1.275897e+01
1.324846889539742e-04	1.229687e+01
1.330427246682600e-04	1.181347e+01
1.336007603825457e-04	1.130876e+01
1.337960728825457e-04	1.113265e+01
1.339913853825457e-04	1.095548e+01
1.341866978825457e-04	1.077739e+01
1.343820103825457e-04	1.059851e+01
1.345773228825457e-04	1.041895e+01
1.347726353825457e-04	1.023886e+01
1.349679478825457e-04	1.005834e+01
1.351632603825457e-04	9.877519e+00
1.353585728825457e-04	9.696518e+00
1.355538853825457e-04	9.515452e+00
1.357491978825457e-04	9.334436e+00
1.359445103825458e-04	9.153581e+00
1.361398228825458e-04	8.972997e+00
1.365304478825458e-04	8.613070e+00
1.369210728825458e-04	8.255491e+00
1.373116978825458e-04	7.901058e+00
1.377023228825458e-04	7.550529e+00
1.380929478825458e-04	7.204626e+00
1.386788853825458e-04	6.695931e+00
1.392648228825458e-04	6.201319e+00
1.398507603825459e-04	5.722736e+00
1.404366978825459e-04	5.261934e+00
1.408273228825459e-04	4.965387e+00
1.410226353825459e-04	4.820469e+00
1.412179478825459e-04	4.677852e+00
1.414132603825459e-04	4.537583e+00
1.416085728825459e-04	4.399704e+00
1.418038853825459e-04	4.264257e+00
1.419991978825459e-04	4.131282e+00
1.421945103825459e-04	4.000813e+00
1.425851353825459e-04	3.747534e+00
1.429757603825460e-04	3.504667e+00
1.433663853825460e-04	3.272425e+00
1.439523228825460e-04	2.944368e+00
1.445382603825460e-04	2.641075e+00
1.451241978825460e-04	2.362847e+00
1.457101353825460e-04	2.109831e+00
1.462960728825461e-04	1.882026e+00
1.468820103825461e-04	1.679291e+00
1.474679478825461e-04	1.501356e+00
1.480538853825461e-04	1.347829e+00
1.486398228825461e-04	1.218204e+00
1.492257603825461e-04	1.111873e+00
1.498116978825462e-04	1.028132e+00
1.502023228825462e-04	9.844683e-01
1.503976353825462e-04	9.661919e-01
1.507882603825462e-04	9.365853e-01
1.511788853825462e-04	9.160110e-01
1.513741978825462e-04	9.090221e-01
1.515695103825462e-04	9.041833e-01
1.517648228825462e-04	9.014570e-01
1.519601353825462e-04	9.008054e-01
1.521554478825462e-04	9.021897e-01
1.523507603825462e-04	9.055707e-01
1.525460728825462e-04	9.109090e-01
1.529366978825462e-04	9.272958e-01
1.533273228825463e-04	9.510238e-01
1.537179478825463e-04	9.817607e-01
1.543038853825463e-04	1.040269e+00
1.548898228825463e-04	1.112633e+00
1.554757603825463e-04	1.197687e+00
1.560616978825463e-04	1.294260e+00
1.566755371682606e-04	1.409699e+00
1.572893764539749e-04	1.531942e+00
1.579032157396893e-04	1.660990e+00
1.585170550254035e-04	1.796843e+00
1.591308943111178e-04	1.939500e+00
1.597447335968321e-04	2.088962e+00
1.603585728825465e-04	2.245229e+00
1.609445103825465e-04	2.395917e+00
1.615304478825465e-04	2.545890e+00
1.621163853825465e-04	2.695148e+00
1.627023228825465e-04	2.843691e+00
1.632882603825465e-04	2.991518e+00
1.638741978825466e-04	3.138629e+00
1.644601353825466e-04	3.285025e+00
1.648786621682609e-04	3.386682e+00
1.652971889539752e-04	3.485971e+00
1.657157157396895e-04	3.582891e+00
1.661342425254038e-04	3.677444e+00
1.665527693111181e-04	3.769628e+00
1.669712960968324e-04	3.859444e+00
1.673898228825467e-04	3.946892e+00
1.675851353825467e-04	3.986509e+00
1.677804478825467e-04	4.025478e+00
1.679757603825467e-04	4.063786e+00
1.681710728825467e-04	4.101421e+00
1.683663853825467e-04	4.138373e+00
1.685616978825467e-04	4.174631e+00
