time	V(vout)
5.006440000000004e-06	2.399770e-11
5.007880000000005e-06	2.399770e-11
5.009320000000007e-06	2.399769e-11
5.010760000000008e-06	2.399769e-11
5.012200000000009e-06	2.399769e-11
7.284848000001985e-05	2.396519e-11
8.437599999999999e-05	2.395967e-11
8.439000000000000e-05	2.395966e-11
9.256900000000000e-05	2.395575e-11
9.258100000000000e-05	2.395574e-11
9.316400000000000e-05	2.395546e-11
9.374700000000000e-05	2.395518e-11
9.433000000000000e-05	2.395490e-11
9.491300000000000e-05	2.395463e-11
9.549600000000001e-05	2.395435e-11
9.607900000000000e-05	2.395407e-11
9.666200000000000e-05	2.395379e-11
9.666800000000000e-05	2.395379e-11
9.871100000000001e-05	2.395281e-11
9.873900000000000e-05	2.395280e-11
9.884642857142857e-05	2.395274e-11
9.895385714285715e-05	2.395269e-11
9.906128571428572e-05	2.395264e-11
9.916871428571429e-05	2.395259e-11
9.927614285714285e-05	2.395254e-11
9.938357142857143e-05	2.395249e-11
9.949100000000000e-05	2.395244e-11
9.950300000000000e-05	2.395243e-11
9.974399999999999e-05	2.395231e-11
9.975799999999983e-05	2.395231e-11
9.980599999999928e-05	2.395228e-11
9.987600000000723e-05	2.395225e-11
9.990000000004192e-05	2.395224e-11
9.991314285717878e-05	2.395223e-11
9.992628571431566e-05	2.395223e-11
9.993942857145252e-05	2.395222e-11
9.995257142858939e-05	2.395222e-11
9.996571428572625e-05	2.395221e-11
9.997885714286313e-05	2.395220e-11
9.999199999999999e-05	2.395220e-11
9.999700002676102e-05	2.395219e-11
9.999999999999999e-05	2.395219e-11
1.000001095061632e-04	2.395613e-11
1.000002191193706e-04	9.868627e-07
1.000004383457854e-04	3.975978e-02
1.000005483965731e-04	1.643524e+00
1.000005892964989e-04	8.650297e+00
1.000006061770882e-04	2.256142e+01
1.000006153375237e-04	4.292521e+01
1.000006220673924e-04	7.242137e+01
1.000006285860795e-04	1.218623e+02
1.000006355724329e-04	2.088358e+02
1.000006423978946e-04	3.455676e+02
1.000006496952455e-04	5.718295e+02
1.000006572034379e-04	9.115013e+02
1.000006655996468e-04	1.415291e+03
1.000006752948747e-04	2.069227e+03
1.000006887735034e-04	2.864662e+03
1.000007055070262e-04	3.489155e+03
1.000007256705672e-04	3.824034e+03
1.000007476280121e-04	3.939121e+03
1.000007816547509e-04	3.976742e+03
1.000010000000000e-04	3.977694e+03
1.000057396322451e-04	3.729369e+03
1.000104792644902e-04	3.496201e+03
1.000152188967353e-04	3.278187e+03
1.000199585289804e-04	3.075330e+03
1.000246981612255e-04	2.887628e+03
1.000294377934706e-04	2.715082e+03
1.000341774257157e-04	2.557691e+03
1.000611576445780e-04	1.782846e+03
1.000908172124669e-04	1.178252e+03
1.001196189732110e-04	7.828304e+02
1.001467844477234e-04	5.330694e+02
1.001741808373062e-04	3.627950e+02
1.002015603395193e-04	2.469698e+02
1.002292882911819e-04	1.672741e+02
1.002567929172063e-04	1.135988e+02
1.002844301111236e-04	7.701998e+01
