time	V(vout)
0.000000000000000e+00	4.708414e-06
1.785714235210837e-11	4.708414e-06
3.571428470421675e-11	4.708414e-06
5.357142705632512e-11	4.708414e-06
7.142856940843349e-11	4.708414e-06
8.928571176054187e-11	4.708414e-06
1.071428541126502e-10	4.708414e-06
1.249999964647586e-10	4.708414e-06
2.499999929295171e-10	4.708414e-06
4.999999858590343e-10	4.708414e-06
9.999999717180685e-10	4.708414e-06
1.999999943436137e-09	4.708414e-06
7.999999773744548e-09	4.708414e-06
9.609375000000000e-06	4.708414e-06
9.774999971039302e-06	4.708414e-06
9.780999971039302e-06	4.708414e-06
9.984000000000000e-06	4.708414e-06
9.990999942078608e-06	4.708414e-06
9.995999999999999e-06	4.708414e-06
9.999000000000000e-06	4.708414e-06
9.999999999999999e-06	4.708414e-06
1.000010000000000e-05	4.708414e-06
1.000030000000000e-05	4.708414e-06
1.000035000000000e-05	4.708414e-06
1.000045000000000e-05	4.708414e-06
1.000047500000000e-05	4.708414e-06
1.000052500000000e-05	4.708436e-06
1.000062500000000e-05	4.718110e-06
1.000065000000000e-05	4.743106e-06
1.000065625000000e-05	4.796731e-06
1.000066326384207e-05	4.992343e-06
1.000066614956881e-05	5.253273e-06
1.000066902399606e-05	5.889094e-06
1.000067110181773e-05	6.858963e-06
1.000067293174809e-05	8.531095e-06
1.000067465734135e-05	1.144983e-05
1.000067631853798e-05	1.652813e-05
1.000067792185789e-05	2.525884e-05
1.000067947526475e-05	4.046567e-05
1.000068112643420e-05	6.911300e-05
1.000068264119244e-05	1.159211e-04
1.000068419046264e-05	2.000638e-04
1.000068565648834e-05	3.392513e-04
1.000068714530056e-05	5.837831e-04
1.000068859149403e-05	9.922307e-04
1.000069006150336e-05	1.698565e-03
1.000069152328882e-05	2.879456e-03
1.000069303049671e-05	4.886341e-03
1.000069458874653e-05	8.208963e-03
1.000069628484466e-05	1.375343e-02
1.000069824651821e-05	2.301293e-02
1.000070096071522e-05	3.975860e-02
1.000070415953442e-05	6.295201e-02
1.000070805307598e-05	9.354200e-02
1.000071234622612e-05	1.282999e-01
1.000071929149300e-05	1.850474e-01
1.000100000000000e-05	2.482423e+00
1.000692917680306e-05	5.061476e+01
1.001285835360612e-05	9.806914e+01
1.001878753040918e-05	1.448456e+02
1.002471670721223e-05	1.909441e+02
1.003064588401529e-05	2.363647e+02
1.003657506081835e-05	2.811073e+02
1.004250423762141e-05	3.251719e+02
1.008401861058778e-05	6.169293e+02
1.016704735652053e-05	1.121554e+03
1.033310484838602e-05	1.927468e+03
1.052119775364641e-05	2.590089e+03
1.076473210423436e-05	3.152972e+03
1.102521624306314e-05	3.517741e+03
1.136015097756529e-05	3.770633e+03
1.173903771428646e-05	3.908154e+03
1.212966271428646e-05	3.962724e+03
1.291091271428646e-05	3.966959e+03
1.603591271428647e-05	3.795403e+03
1.916091271428647e-05	3.629799e+03
2.228591271428647e-05	3.470147e+03
2.541091271428647e-05	3.316448e+03
2.853591271428647e-05	3.168700e+03
3.166091271428648e-05	3.026905e+03
3.478591271428647e-05	2.891062e+03
4.064528771428644e-05	2.658271e+03
4.650466271428640e-05	2.441419e+03
5.236403771428637e-05	2.240508e+03
5.822341271428634e-05	2.055537e+03
6.408278771428630e-05	1.886505e+03
6.994216271428627e-05	1.733414e+03
7.580153771428623e-05	1.596262e+03
8.193993057142905e-05	1.463826e+03
8.807832342857187e-05	1.340793e+03
9.421671628571470e-05	1.227163e+03
1.003551091428575e-04	1.122937e+03
1.064935020000003e-04	1.028114e+03
1.126318948571432e-04	9.426947e+02
1.187702877142860e-04	8.666787e+02
1.249086805714290e-04	7.965732e+02
1.310470734285720e-04	7.314453e+02
1.371854662857150e-04	6.712952e+02
1.433238591428580e-04	6.161229e+02
1.494622520000011e-04	5.659283e+02
1.556006448571441e-04	5.207114e+02
1.617390377142871e-04	4.804723e+02
1.678774305714301e-04	4.433618e+02
1.740158234285731e-04	4.088862e+02
1.801542162857162e-04	3.770457e+02
1.862926091428592e-04	3.478401e+02
1.924310020000023e-04	3.212695e+02
1.985693948571453e-04	2.973338e+02
2.047077877142883e-04	2.760331e+02
2.108461805714314e-04	2.563886e+02
2.169845734285744e-04	2.381390e+02
2.231229662857174e-04	2.212841e+02
2.292613591428605e-04	2.058241e+02
2.353997520000035e-04	1.917589e+02
2.415381448571465e-04	1.790885e+02
2.476765377142895e-04	1.678129e+02
2.538149305714326e-04	1.574141e+02
2.599533234285756e-04	1.477536e+02
2.660917162857187e-04	1.388314e+02
2.722301091428617e-04	1.306476e+02
2.783685020000047e-04	1.232022e+02
2.845068948571478e-04	1.164951e+02
2.906452877142908e-04	1.105264e+02
2.967836805714338e-04	1.050217e+02
3.029220734285769e-04	9.990792e+01
3.090604662857199e-04	9.518496e+01
3.151988591428629e-04	9.085286e+01
3.213372520000060e-04	8.691160e+01
3.274756448571490e-04	8.336119e+01
3.336140377142920e-04	8.020163e+01
3.374644841428635e-04	7.832516e+01
3.413149305714351e-04	7.653980e+01
3.451653770000067e-04	7.484557e+01
3.490158234285782e-04	7.324246e+01
3.528662698571497e-04	7.173047e+01
3.567167162857213e-04	7.030959e+01
3.605671627142928e-04	6.897984e+01
3.609577877142928e-04	6.884789e+01
3.664265377142930e-04	6.710211e+01
3.718952877142931e-04	6.546953e+01
3.773640377142933e-04	6.395014e+01
3.828327877142934e-04	6.254394e+01
3.883015377142936e-04	6.125095e+01
3.937702877142937e-04	6.007114e+01
3.992390377142939e-04	5.900453e+01
3.996296627142939e-04	5.893009e+01
4.000000000000000e-04	5.885981e+01
